,cost,degree,trainAcc,valAcc,valPrecision,valRecall,valF1_score,testAcc,testPrecision,testRecall,testF1_score
40,391,1,0.65886553,0.675,0.591731266,0.665697674,0.626538988,0.671819263,0.6167979,0.643835616,0.63002681
41,401,1,0.661642205,0.676190476,0.59375,0.662790698,0.626373626,0.671819263,0.618037135,0.638356164,0.628032345
42,411,1,0.662435541,0.673809524,0.590673575,0.662790698,0.624657534,0.675386445,0.622340426,0.64109589,0.631578947
43,421,1,0.661642205,0.675,0.592207792,0.662790698,0.625514403,0.673008323,0.619047619,0.64109589,0.629878869
44,431,1,0.660452202,0.672619048,0.591029024,0.651162791,0.619640387,0.673008323,0.620320856,0.635616438,0.627875507
45,441,1,0.660452202,0.678571429,0.596354167,0.665697674,0.629120879,0.677764566,0.623036649,0.652054795,0.637215529
46,451,1,0.661642205,0.676190476,0.59375,0.662790698,0.626373626,0.673008323,0.619047619,0.64109589,0.629878869
47,461,1,0.65886553,0.672619048,0.588688946,0.665697674,0.624829468,0.668252081,0.611979167,0.643835616,0.627503338
48,471,1,0.660055534,0.673809524,0.590673575,0.662790698,0.624657534,0.669441141,0.614173228,0.64109589,0.627345845
49,481,1,0.662038873,0.670238095,0.584382872,0.674418605,0.626180837,0.664684899,0.607235142,0.643835616,0.625
50,491,1,0.662038873,0.673809524,0.590206186,0.665697674,0.62568306,0.671819263,0.6167979,0.643835616,0.63002681
51,1,2,0.758032527,0.75952381,0.682051282,0.773255814,0.72479564,0.751486326,0.696969697,0.756164384,0.725361367
52,11,2,0.758429195,0.75952381,0.682051282,0.773255814,0.72479564,0.750297265,0.696202532,0.753424658,0.723684211
53,21,2,0.758429195,0.75952381,0.682051282,0.773255814,0.72479564,0.751486326,0.696969697,0.756164384,0.725361367
54,31,2,0.759619199,0.763095238,0.683544304,0.784883721,0.730717185,0.752675386,0.697732997,0.75890411,0.727034121
55,41,2,0.760412535,0.75952381,0.681122449,0.776162791,0.725543478,0.750297265,0.696202532,0.753424658,0.723684211
56,51,2,0.760809203,0.758333333,0.679389313,0.776162791,0.724559023,0.755053508,0.698254364,0.767123288,0.731070496
57,61,2,0.761205871,0.755952381,0.675062972,0.779069767,0.723346829,0.749108205,0.691542289,0.761643836,0.724902216
58,71,2,0.758429195,0.760714286,0.684754522,0.770348837,0.7250342,0.752675386,0.697732997,0.75890411,0.727034121
59,81,2,0.760809203,0.75952381,0.682051282,0.773255814,0.72479564,0.752675386,0.698734177,0.756164384,0.726315789
60,91,2,0.758825863,0.75952381,0.679292929,0.781976744,0.727027027,0.749108205,0.694444444,0.753424658,0.722733246
61,101,2,0.758825863,0.75952381,0.680203046,0.779069767,0.726287263,0.750297265,0.695214106,0.756164384,0.724409449
62,111,2,0.758032527,0.755952381,0.678663239,0.76744186,0.720327422,0.752675386,0.699745547,0.753424658,0.725593668
63,121,2,0.758032527,0.758333333,0.681233933,0.770348837,0.723055935,0.749108205,0.695431472,0.750684932,0.722002635
64,131,2,0.762395875,0.758333333,0.680306905,0.773255814,0.723809524,0.750297265,0.696202532,0.753424658,0.723684211
65,141,2,0.748512495,0.748809524,0.670951157,0.75872093,0.712141883,0.734839477,0.67839196,0.739726027,0.707732634
66,151,2,0.763982547,0.760714286,0.685714286,0.76744186,0.724279835,0.753864447,0.6975,0.764383562,0.729411765
67,161,2,0.758429195,0.763095238,0.688311688,0.770348837,0.72702332,0.749108205,0.698453608,0.742465753,0.719787517
68,171,2,0.755652519,0.75952381,0.682989691,0.770348837,0.724043716,0.753864447,0.699494949,0.75890411,0.727989488
69,181,2,0.749305831,0.746428571,0.667519182,0.75872093,0.710204082,0.745541023,0.687344913,0.75890411,0.721354167
70,191,2,0.762395875,0.757142857,0.675,0.784883721,0.725806452,0.746730083,0.69,0.756164384,0.721568627
71,201,2,0.760412535,0.760714286,0.678304239,0.790697674,0.730201342,0.752675386,0.696741855,0.761643836,0.727748691
72,211,2,0.760412535,0.752380952,0.675257732,0.761627907,0.715846995,0.745541023,0.691139241,0.747945205,0.718421053
73,221,2,0.758825863,0.761904762,0.689473684,0.761627907,0.723756906,0.747919144,0.695652174,0.745205479,0.71957672
74,231,2,0.760412535,0.755952381,0.674185464,0.781976744,0.724091521,0.757431629,0.703797468,0.761643836,0.731578947
75,241,2,0.759222531,0.755952381,0.675949367,0.776162791,0.722598106,0.753864447,0.698492462,0.761643836,0.72870249
76,251,2,0.754859183,0.757142857,0.678571429,0.773255814,0.722826087,0.747919144,0.691729323,0.756164384,0.722513089
77,261,2,0.758825863,0.764285714,0.691099476,0.76744186,0.727272727,0.749108205,0.698453608,0.742465753,0.719787517
78,271,2,0.762395875,0.766666667,0.686868687,0.790697674,0.735135135,0.752675386,0.696741855,0.761643836,0.727748691
79,281,2,0.756842523,0.767857143,0.68956743,0.787790698,0.73541384,0.746730083,0.690954774,0.753424658,0.720838794
80,291,2,0.760015867,0.76547619,0.693931398,0.764534884,0.727524205,0.749108205,0.697435897,0.745205479,0.720529801
81,301,2,0.756445855,0.758333333,0.675810474,0.787790698,0.727516779,0.744351962,0.6875,0.753424658,0.718954248
82,311,2,0.761999207,0.760714286,0.681012658,0.781976744,0.728010825,0.753864447,0.6975,0.764383562,0.729411765
83,321,2,0.764379215,0.758333333,0.677581864,0.781976744,0.726045884,0.747919144,0.692695214,0.753424658,0.721784777
84,331,2,0.760412535,0.763095238,0.684478372,0.781976744,0.729986431,0.747919144,0.691729323,0.756164384,0.722513089
85,341,2,0.759619199,0.763095238,0.683544304,0.784883721,0.730717185,0.751486326,0.695979899,0.75890411,0.726081258
86,351,2,0.763189211,0.758333333,0.684073107,0.761627907,0.720770289,0.753864447,0.702564103,0.750684932,0.725827815
87,361,2,0.754462515,0.758333333,0.678481013,0.779069767,0.725304465,0.745541023,0.690176322,0.750684932,0.719160105
88,371,2,0.761602539,0.764285714,0.685279188,0.784883721,0.731707317,0.747919144,0.690773067,0.75890411,0.723237598
89,381,2,0.758032527,0.752380952,0.669154229,0.781976744,0.721179625,0.744351962,0.6875,0.753424658,0.718954248
90,391,2,0.762792543,0.764285714,0.684343434,0.787790698,0.732432432,0.753864447,0.696517413,0.767123288,0.73011734
91,401,2,0.763585879,0.758333333,0.678481013,0.779069767,0.725304465,0.747919144,0.693670886,0.750684932,0.721052632
92,411,2,0.761205871,0.763095238,0.681704261,0.790697674,0.732166891,0.750297265,0.693266833,0.761643836,0.725848564
93,421,2,0.761999207,0.754761905,0.675126904,0.773255814,0.720867209,0.745541023,0.691139241,0.747945205,0.718421053
94,431,2,0.758825863,0.76547619,0.688946015,0.779069767,0.731241473,0.749108205,0.693467337,0.756164384,0.723460026
95,441,2,0.766362555,0.76547619,0.68797954,0.781976744,0.731972789,0.753864447,0.702564103,0.750684932,0.725827815
96,451,2,0.761205871,0.757142857,0.674129353,0.787790698,0.726541555,0.755053508,0.698254364,0.767123288,0.731070496
97,461,2,0.757635859,0.752380952,0.672588832,0.770348837,0.718157182,0.750297265,0.692307692,0.764383562,0.7265625
98,471,2,0.759222531,0.75952381,0.681122449,0.776162791,0.725543478,0.750297265,0.693266833,0.761643836,0.725848564
99,481,2,0.754065847,0.75,0.665841584,0.781976744,0.719251337,0.746730083,0.685365854,0.769863014,0.72516129
100,491,2,0.760809203,0.757142857,0.675879397,0.781976744,0.725067385,0.747919144,0.688888889,0.764383562,0.724675325
101,1,3,0.847679492,0.817857143,0.775216138,0.781976744,0.778581766,0.79667063,0.762162162,0.77260274,0.767346939
