,cost,degree,trainAcc,valAcc,testAcc
116,151,3,0.738992463,0.655952381,0.668252081
117,161,3,0.7100357,0.619047619,0.619500595
118,171,3,0.725109084,0.644047619,0.627824019
119,181,3,0.7100357,0.61547619,0.632580262
120,191,3,0.730662436,0.653571429,0.626634958
121,201,3,0.727489092,0.623809524,0.645659929
122,211,3,0.705672352,0.630952381,0.625445898
123,221,3,0.698928996,0.621428571,0.608799049
124,231,3,0.734629115,0.628571429,0.639714625
125,241,3,0.703292344,0.60952381,0.604042806
126,251,3,0.664022213,0.58452381,0.586206897
127,261,3,0.729075764,0.627380952,0.632580262
128,271,3,0.721539072,0.639285714,0.643281807
129,281,3,0.697342324,0.591666667,0.601664685
130,291,3,0.707259024,0.605952381,0.600475624
131,301,3,0.711622372,0.589285714,0.606420927
132,311,3,0.710829036,0.595238095,0.613555291
133,321,3,0.717175724,0.614285714,0.619500595
134,331,3,0.714795716,0.628571429,0.618311534
135,341,3,0.7100357,0.617857143,0.617122473
136,351,3,0.708845696,0.588095238,0.613555291
137,361,3,0.694962317,0.589285714,0.620689655
138,371,3,0.695358985,0.610714286,0.601664685
139,381,3,0.668782229,0.596428571,0.61117717
140,391,3,0.689012297,0.597619048,0.596908442
141,401,3,0.703689012,0.591666667,0.61117717
142,411,3,0.675922253,0.583333333,0.61117717
143,421,3,0.647362158,0.571428571,0.573127229
144,431,3,0.708845696,0.626190476,0.614744352
145,441,3,0.695358985,0.604761905,0.617122473
146,451,3,0.677905593,0.580952381,0.587395957
147,461,3,0.670368901,0.579761905,0.582639715
148,471,3,0.666798889,0.577380952,0.575505351
149,481,3,0.677905593,0.582142857,0.59334126
150,491,3,0.65291551,0.551190476,0.57431629
151,1,4,0.942086474,0.732142857,0.7039239
152,11,4,0.965886553,0.694047619,0.707491082
153,21,4,0.973026577,0.688095238,0.692033294
154,31,4,0.975803253,0.701190476,0.687277051
155,41,4,0.977786593,0.695238095,0.683709869
156,51,4,0.979769933,0.695238095,0.682520809
157,61,4,0.979769933,0.696428571,0.68489893
158,71,4,0.982943276,0.69047619,0.68489893
159,81,4,0.982943276,0.688095238,0.68489893
160,91,4,0.983339944,0.689285714,0.681331748
161,101,4,0.982943276,0.691666667,0.678953627
162,111,4,0.982546608,0.696428571,0.687277051
163,121,4,0.979769933,0.691666667,0.677764566
164,131,4,0.982546608,0.689285714,0.676575505
165,141,4,0.972233241,0.682142857,0.670630202
166,151,4,0.979373265,0.682142857,0.674197384
167,161,4,0.98214994,0.677380952,0.674197384
168,171,4,0.975803253,0.680952381,0.668252081
169,181,4,0.984529948,0.683333333,0.673008323
170,191,4,0.983339944,0.678571429,0.664684899
171,201,4,0.98413328,0.683333333,0.663495838
172,211,4,0.986513288,0.680952381,0.66706302
173,221,4,0.985719952,0.680952381,0.66587396
174,231,4,0.98214994,0.685714286,0.664684899
175,241,4,0.971836573,0.677380952,0.664684899
176,251,4,0.977786593,0.678571429,0.669441141
177,261,4,0.983736612,0.68452381,0.673008323
178,271,4,0.980959937,0.682142857,0.671819263
179,281,4,0.974216581,0.683333333,0.671819263
180,291,4,0.977389925,0.68452381,0.669441141
181,301,4,0.973819913,0.678571429,0.663495838
182,311,4,0.982546608,0.683333333,0.669441141
183,321,4,0.98413328,0.685714286,0.66706302
184,331,4,0.98214994,0.686904762,0.670630202
185,341,4,0.976596589,0.683333333,0.670630202
186,351,4,0.976596589,0.68452381,0.66587396
187,361,4,0.976993257,0.688095238,0.671819263
188,371,4,0.978976597,0.691666667,0.66706302
189,381,4,0.979373265,0.685714286,0.668252081
190,391,4,0.979373265,0.688095238,0.66706302
191,401,4,0.979769933,0.691666667,0.669441141
192,411,4,0.98214994,0.691666667,0.670630202
193,421,4,0.977786593,0.692857143,0.674197384
194,431,4,0.982943276,0.691666667,0.671819263
195,441,4,0.979769933,0.691666667,0.674197384
196,451,4,0.983736612,0.694047619,0.670630202
197,461,4,0.976596589,0.696428571,0.669441141
198,471,4,0.980563269,0.697619048,0.670630202
199,481,4,0.978579929,0.688095238,0.668252081
200,491,4,0.980166601,0.695238095,0.669441141
