"","year","origin","dest","distcalc","origID","destID","dist_mi","dcost","segpax","mktpax","orig_income","dest_income","orig_pop","dest_pop","orig_tourist","dest_tourist","orig_industry","dest_industry","gdp","log_twoPops","twoPops","log_twoIncome","twoIncome"
"106",2005,"CLT","SAN",3339.09214555401,11057,14679,2077,7944347.033,72020,72275,31787,34343,645100,1257278,"N","Y","Y","Y",44307.83,27.4216202471357,1902378,20.8109661724663,66130
"107",2005,"CLT","SEA",3664.72877014081,11057,14747,2279,7672221.996,66697,66313,31787,37040,645100,853562,"N","N","Y","Y",44307.83,27.0343340831608,1498662,20.8865663689134,68827
"108",2005,"CLT","SFO",3691.11054338823,11057,14771,2296,18756674.57,175489,173267,31787,43543,645100,763016,"N","Y","Y","Y",44307.83,26.9221949024229,1408116,21.0483169147271,75330
"109",2005,"CLT","SLC",2776.69073852788,11057,14869,1727,3324050.979,38573,467,31787,27984,645100,180488,"N","Y","Y","N",44307.83,25.4805801950709,825588,20.6062008774116,59771
"110",2005,"CLT","TPA",819.715590565151,11057,15304,508,9104644.079,327574,315602,31787,30331,645100,326829,"N","Y","Y","Y",44307.83,26.0743529998413,971929,20.6867382509485,62118
"111",2005,"DCA","DEN",2371.8404510009,11278,11292,1476,12543831.05,144739,165191,,35224,754896,551691,"Y","Y","Y","N",44307.83,26.7550786563124,1306587,,
"112",2005,"DCA","DFW",1917.08107519259,11278,11298,1192,35257325.56,459312,457887,,31238,754896,1808658,"Y","N","Y","Y",44307.83,27.9424309621766,2563554,,
"113",2005,"DCA","DTW",651.96713620707,11278,11433,405,9194442.71,328185,313822,,32254,754896,861222,"Y","N","Y","Y",44307.83,27.2004428602948,1616118,,
"114",2005,"DCA","EWR",319.700408143726,11278,11618,199,1882890.646,122390,121994,,34138,754896,515275,"Y","Y","Y","Y",44307.83,26.6867912881101,1270171,,
"115",2005,"DCA","FLL",1452.12366604123,11278,11697,899,13464953.95,233132,212961,,,754896,318592,"Y","Y","Y","N",44307.83,26.2060018366858,1073488,,
"116",2005,"DCA","HNL",7785.75236479281,11278,12173,0,0,0,0,,,754896,918181,"Y","Y","Y","Y",44307.83,27.2644850883222,1673077,,
"117",2005,"DCA","IAD",38.0853276313679,11278,12264,24,916.5888864,97,207,,,754896,567136,"Y","Y","Y","Y",44307.83,26.7826896832535,1322032,,
"118",2005,"DCA","IAH",1943.80167745892,11278,12266,1208,21476458.25,277449,275740,,29663,754896,1995773,"Y","N","Y","Y",44307.83,28.0408772723298,2750669,,
"119",2005,"DCA","JFK",342.594915532008,11278,12478,213,1486325.833,79745,77894,,37876,754896,8013368,"Y","Y","Y","Y",44307.83,29.4309569754756,8768264,,
